1	Bptf	Cbfa2t3h	Cdkn2a	Dnmt3a	Eif2b1	Erg	Ets1	Ets2	Etv6	Ezh2	Fli1	Foxo3a	Gata1	Gata2	Gata3	Gfi1	Gfi1b	Hhex	HoxA5	HoxA9	HoxB4	Ikzf1	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mpl	Mrpl19	Myb	Nfe2	Notch1	Pbx1	Polr2a	Prdm16	Procr	Runx1	Sfpi1	Sh2b3	Smarcc1	Smarcc2	Tal1	Tcf7	Tet2	Ubc	Vwf
shGata2_017	3.779309075	2.040810005	6.263487275	4.635569305	2.117386625	2.184577625	15	3.281416865	1.851650065	15	0.585283725	0.542232015000002	15	2.607062205	15	15	4.627632615	4.217863755	15	15	15	2.418815115	-1.138845005	2.311501465	2.469190095	-0.519438764999999	15	0.491839775000001	15	3.502966725	1.805465405	0.128937615000002	1.061754375	7.983386605	5.605952075	2.177007665	15	3.610748845	2.077337955	3.815171815	15	0.763668005000001	3.853551155	2.195750415	15	2.655467565	-2.177007665	15
shGata2_018	4.028852345	4.201636165	15	3.400594115	6.455738065	1.512673365	7.909247405	15	2.740431465	7.017685755	1.581621025	0.425040225	15	5.154014765	15	15	15	3.042706045	15	15	15	2.950750705	-0.354781635	15	1.840781955	-0.155781545	7.063149125	1.415264145	15	5.349944905	2.965624685	1.353747435	3.030029235	7.836896425	5.973684125	2.525473395	15	4.036112645	0.741200814999999	3.319841165	15	2.088693845	3.990999225	2.014335605	15	4.452826825	-2.525473395	15
shGata2_019	3.94444085	2.06691777	15	15	1.94447868	2.37633296	15	3.56740487	1.95763568	5.89018801	0.82022452	-0.103704310000001	15	1.88652535	5.39545571	15	15	2.5240488	4.6869311	15	2.54767507	0.133484579999999	-1.01117567	1.64770717	15	-0.21728001	15	-0.0712650700000008	15	3.0375999	1.5586798	0.19382229	2.18397407	8.05195191	3.66716791	1.71976118	15	4.75279807	2.86003523	3.5114277	5.4627678	0.16725465	3.48245235	1.25681522	15	3.29022258	-1.71976118	15
shGata2_020	3.16048568	1.48623213	8.22017244	15	2.27948006	2.3346532	15	5.11443108	1.72850568	7.30758891	0.32647068	1.77168928	15	2.59211392	5.08599803	15	15	2.11808634	15	15	15	1.50787856	-1.09994922	2.56976491	3.11013977	0.0946688899999995	3.70888528	-0.5074402	15	15	2.62839817	0.514131150000001	2.89578235	15	4.1308266	1.70454129	15	3.28889526	4.21420505	3.16234795	15	0.617177480000001	3.81217332	1.94235255	15	3.88962503	-1.70454129	15
shGata2_021	2.32238418	1.55490207	15	15	1.72219521	15	15	3.49127338	1.53515081	6.37404253	-0.908712480000002	-0.508716910000002	1.58025457	2.49655357	15	15	1.46638942	2.76411088	15	15	15	0.447354879999999	-2.31158282	2.49594354	1.10381542	-0.243995430000002	15	-0.643027750000002	15	4.5495257	1.58578345	-2.73515241	0.1340249	15	0.693749739999998	2.07783146	15	15	0.461900919999998	4.22247039	15	-0.0878597499999998	3.08658627	-0.274490240000002	15	5.48378268	-2.07783146	3.8143452
shGata2_022	3.07278425	15	15	5.54965877	0.92770647	2.45561472	15	3.67795572	2.86569163	7.18363901	1.98576888	0.689974030000002	15	3.58473097	15	15	15	15	15	15	2.78078566	3.38290538	-0.645968129999998	2.43742681	15	0.048080800000001	15	-0.319043539999999	5.10322366	15	1.5612889	1.95396472	4.07355471	10.09354793	5.20117006	2.08381293	15	3.66628247	5.12319853	5.63687796	15	0.976350060000001	3.26452755	3.00292049	15	3.77554444	-2.08381293	15
shGata2_023	3.438805815	2.176740885	15	3.437572775	1.698980855	3.001706565	15	1.756932015	2.391961395	7.098522115	-0.167114465000001	0.100144114999999	15	2.759421035	8.743793625	15	3.847169605	3.594747155	15	15	5.146481955	1.362011585	-1.941801325	3.696573005	4.368725395	-0.772358385	15	0.0682122950000004	15	1.666050435	2.049974675	-1.341707985	1.877294925	15	4.865182975	1.732014095	15	15	2.420231395	3.526465495	15	0.384125975	3.426805955	1.760767475	15	3.977012605	-1.732014095	15
shGata2_024	2.188536465	2.777243025	9.607083405	3.537483035	0.834610905000002	3.924495105	15	15	1.260999745	6.882133805	-0.571364235000001	0.0999152250000002	15	3.014918515	15	15	2.629960125	15	15	15	3.519784355	2.688511275	0.0973304850000005	2.110387195	1.196504665	0.922339194999999	15	-1.532545395	15	0.627005125	1.268760755	-1.202594145	1.547295765	15	1.021641205	2.043230395	15	15	3.628238935	4.853313035	15	0.0953763250000002	4.617455905	2.489296515	15	3.114791105	-2.043230395	15
shGata2_025	3.91134945	4.55592477	15	15	2.53241664	4.10138378	15	3.43893338	2.21038754	15	-1.54064358	0.0499455000000015	15	3.53211834	3.56002921	15	3.10023061	15	15	15	15	1.52638987	-0.806608559999999	5.39758388	15	-0.923556689999998	15	-1.11831274	15	1.49923481	2.05372843	-0.694623709999998	2.3170148	15	3.79746306	1.72048815	15	15	2.70089412	4.63737893	15	0.291464590000002	3.55718724	0.708702710000001	15	3.68221088	-1.72048815	15
shGata2_026	2.94988949	4.3708713	15	15	2.27874416	2.61679507	15	4.02146525	2.78591122	15	-0.37596716	0.584344170000001	2.03807779	1.9845233	15	15	1.29274308	15	15	15	3.10887502	1.06336025	-0.84368317	15	0.824660940000001	1.05271715	15	-0.437905449999999	15	3.52261123	0.934799130000002	-1.54482436	0.930386000000002	15	1.07113433	2.09890072	15	15	1.1692787	3.96641137	15	1.34219269	4.92990417	1.30317567	15	3.79929378	-2.09890072	15
