1	Bptf	Cbfa2t3h	Cdkn2a	Dnmt3a	Eif2b1	Erg	Ets1	Ets2	Etv6	Ezh2	Fli1	Foxo3a	Gata1	Gata2	Gata3	Gfi1	Gfi1b	Hhex	HoxA5	HoxA9	HoxB4	Ikzf1	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mpl	Mrpl19	Myb	Nfe2	Notch1	Pbx1	Polr2a	Prdm16	Procr	Runx1	Sfpi1	Sh2b3	Smarcc1	Smarcc2	Tal1	Tcf7	Tet2	Ubc	Vwf
Gfi1_012	3.05127773	1.48598469	15	4.40487864	1.29081707	15	15	15	2.15933805	4.46691211	0.71212724	0.07344688	2.70676858	-0.34520807	15	-1.15785444	15	7.88883014	4.02098263	15	15	-0.01129017	-2.6457339	3.75749753	0.5462113	1.85998147	15	15	15	15	1.83309196	-1.37841624	0.19672387	15	15	2.30575847	15	15	1.72193108	7.33282665	15	1.54048477	3.12551826	2.04505867	15	6.17589221	-2.30575847	4.59605429
Gfi1_013	3.81820858	0.43790207	4.25806219	3.05767382	2.1962107	15	15	15	4.25609534	15	4.61201114	-0.17428799	15	15	15	-3.31176712	15	15	15	15	15	1.20266499	-2.26896045	1.15552698	1.01215005	-0.41673686	15	15	15	-0.70289011	1.1821989	-0.21151252	-0.01688652	15	15	1.26312889	15	15	1.83946661	1.86832035	15	0.7940697	4.88091631	0.9810754	15	2.82303657	-1.26312889	15
Gfi1_014	3.61188956	1.93039705	15	15	0.68322908	15	15	3.1078583	2.04703573	5.31690728	0.17768308	1.70523972	5.69067822	1.92773062	15	-1.21569418	15	15	15	15	5.16051953	2.53703205	-1.69921441	0.93831347	2.53903807	-1.62553776	15	-1.3710631	15	0.39375176	0.51091246	-0.35638672	0.32764127	15	3.6942501	2.21657651	15	15	3.5244933	3.14351324	15	0.21950854	4.41811137	0.5455578	15	2.74025466	-2.21657651	15
Gfi1_018	3.18066589	0.69972361	15	3.83509225	0.75818107	3.15672437	15	2.0011029	1.19205305	15	-1.28670344	0.83515186	15	2.9736599	15	-2.42995328	15	15	15	15	2.43421411	0.20056208	-1.84833309	-0.14978487	1.35491104	-1.78126877	15	-1.22804333	15	-0.3907947	0.11926794	-0.35738442	-0.09884524	15	15	1.63130226	15	15	2.04562375	3.28643501	15	-0.61306988	2.24007643	-0.59905184	15	1.73282879	-1.63130226	15
Gfi1_019	0.81433336	0.17574265	15	2.11796242	1.07904465	15	15	15	1.50064035	15	-1.66762644	-1.85722359	0.95126232	15	15	-2.53398507	15	15	15	15	15	1.51652285	-3.34241225	-1.29969541	15	-1.18221897	15	1.93016314	15	-1.33736183	15	-3.17948408	-1.58307551	15	-0.63708379	2.9524524	15	15	0.31879711	2.12328183	15	-0.99090039	2.57097997	-1.07486009	15	0.798957	-2.9524524	0.98484859
Gfi1_020	1.936952745	1.101525935	4.162197485	4.464798545	0.064796835	15	15	3.511173155	1.442604785	15	-1.435998425	-1.370525275	15	15	15	-4.325651275	15	0.839307655	15	15	15	0.563387465	-2.894753575	1.092256555	0.041044355	-2.474373185	15	-0.302459835	3.483697955	-0.305883225	1.257146735	-2.571592055	-0.828629285	15	0.248441025	2.165472645	15	15	1.584318225	2.420527375	15	-0.730301755	2.177853235	-1.565186155	15	2.743753065	-2.165472645	15
Gfi1_021	3.51382827	0.12197922	15	1.77902146	-0.76514269	2.91974724	15	2.51031366	1.71779121	5.34000006	-0.38632475	0.22810139	15	-2.4618139	15	-4.17157994	15	1.47285167	15	15	15	1.60688857	-3.13018936	2.13102164	-0.22931268	-1.64749636	15	-0.74688414	3.15113967	0.73390273	0.63938627	-2.18392324	0.24934549	15	15	2.15305851	15	15	0.99530583	2.53597832	15	-0.02905708	1.82709806	-1.40134043	15	3.30236464	-2.15305851	15
Gfi1_022	2.8824929	0.28009282	4.10452495	1.75000341	1.23960683	15	15	15	2.49070725	15	-0.54536119	0.18545409	3.105391	2.31106771	15	-2.86453808	15	15	15	15	15	3.13633662	-1.73905925	1.3978748	-0.87704205	-1.3952121	15	15	3.39608643	-0.00945645	1.90174844	-1.90771441	0.50795675	15	1.46526835	1.6793809	15	15	1.24953161	3.76700208	15	1.74848631	3.1430845	-0.68066873	15	15	-1.6793809	1.57189011
Gfi1_023	2.16748794	0.08001522	15	1.99909375	0.211377	15	15	1.58782083	2.75639011	4.41696176	0.16667306	-0.88538625	15	15	15	-1.91863802	15	0.85722932	15	15	1.66271466	-0.13214671	-3.2757398	-1.12968801	-0.77287944	-1.43137015	15	1.60039702	15	15	-0.21524817	-2.93657099	0.02110008	15	1.47745233	2.18665804	15	15	-0.02121056	8.55624102	15	0.1818956	-0.06823604	1.01608525	15	2.40890208	-2.18665804	15
Gfi1_024	3.66668081	0.69468749	15	2.43848049	1.17808332	15	15	2.48673916	2.04146519	4.72690559	1.11650184	-0.75350912	2.22110456	0.05093356	15	-4.93048846	15	0.26620436	15	15	15	0.64861062	-1.48558632	1.74684833	-0.78726044	-1.36598985	15	0.29935464	15	0.86571898	2.11679223	-1.9174909	-0.16427084	15	4.26586308	0.89097946	15	15	0.82790107	3.80093951	15	0.34224838	2.23317979	-0.7948925	15	1.84720843	-0.89097946	15
Gfi1_025	2.796967675	0.358406765	15	2.266787565	3.644413835	15	15	15	1.676992735	15	-0.103445235	-0.657869795	2.417506095	-0.224000905	15	-2.658022085	15	2.765365045	15	15	2.888736885	0.418072715	-2.422832535	2.070541485	0.702024785	-1.175593365	15	0.932605215	15	-0.393467575	2.652111365	-2.043628925	0.135038395	15	1.331835615	1.894294655	15	15	0.597549815	3.074086255	15	0.749912935	3.138220675	-0.027143945	15	2.809926365	-1.894294655	-0.139530445
Gfi1_027	3.789570425	1.495652915	15	15	1.555409395	15	15	4.579181445	2.019069515	15	0.341746055	-0.218511415	15	2.314092735	15	-1.681014585	15	15	15	15	15	1.985598215	-2.177677425	15	15	-1.239665805	15	0.958096415	15	-0.004023315	2.150895955	-0.569783565	1.926735925	15	1.975576385	2.107726635	15	15	2.284357675	3.671167565	15	1.475511155	4.246551555	1.918274835	15	3.460834745	-2.107726635	15
Gfi1_030	1.94431985	0.54752496	15	15	0.35731608	1.90370956	15	2.22390099	1.34684976	15	-1.79415997	-0.48053267	2.43141342	1.89584437	15	-2.76252447	15	15	15	15	15	1.12293531	-3.41910481	1.73268479	-0.42360733	-1.85609411	15	-0.90392413	15	-0.23017806	15	-2.44815518	-1.15285863	15	1.76574868	1.28425886	15	15	0.88318272	7.71104186	15	0.49708729	1.68769222	-0.10936171	15	2.55817719	-1.28425886	1.99781747
Gfi1_031	2.89472341	2.29772644	15	15	0.69899259	3.31620204	15	2.39783902	1.39029594	15	0.34341862	-0.81326629	1.87390181	1.57921583	15	0.14769872	2.9248951	15	15	15	15	2.35079374	-2.82477869	15	2.01235389	-1.17453171	15	-0.18559336	15	1.98156643	2.91037148	-2.3455848	-0.26026857	15	1.25373099	1.62450441	15	15	2.2209038	3.77252655	15	0.492294	3.04765361	2.29850501	15	4.69538194	-1.62450441	8.53453903
Gfi1_032	1.745524055	-0.108333095	15	1.506503165	2.845563245	1.463711375	15	1.398825445	2.644215645	4.996961905	-2.132707695	-0.362715295	15	2.010394695	15	-3.093425085	15	15	15	15	15	0.865372945	-4.109865585	0.341567445	-0.262756665	-1.932438075	15	-1.915572205	15	-0.991022615	0.612481885	-2.337114675	-0.359607675	15	1.421164545	1.345682965	15	15	-0.374359375	2.510624055	15	-0.711251295	1.589340625	0.333691165	15	1.540773755	-1.345682965	2.410529795
Gfi1_034	3.10600002	2.91909277	15	3.85952919	0.90244739	15	15	3.36155814	1.36680299	4.79531611	0.71346974	-0.00142674	1.25652686	1.83231692	15	-3.80002291	15	15	15	15	15	0.36644306	-2.12336892	0.91628661	0.96024141	-0.48763515	15	-1.22820467	15	0.78555993	0.96379652	-0.65222206	-0.17174207	15	7.72562411	1.26780068	15	15	1.59568501	3.84887994	15	1.24646076	1.55341662	0.36819196	15	5.57250358	-1.26780068	15
Gfi1_035	2.76514284	4.18177226	15	3.03264317	0.35545708	1.68675466	4.945827	1.61561309	1.7843951	15	-1.11959424	0.55838357	15	3.77638167	3.0272954	-1.15527574	15	6.68675527	15	15	15	0.24516564	-2.2134434	0.41913297	1.64723901	-0.52521531	15	-0.30885278	15	0.43069855	0.76074049	-0.62268773	0.46628543	15	1.65813905	1.20010022	15	15	1.63293976	2.74873142	15	-0.60608918	1.50900901	0.60147667	15	2.06471772	-1.20010022	15
Gfi1_036	3.354970195	1.595398555	3.567230705	4.039524475	1.315878805	2.233068555	15	2.506780575	3.188949795	15	1.073752825	0.471356755	15	15	15	-3.231221365	15	2.733814025	15	15	15	1.463707085	-1.646657015	1.014684575	2.757083855	-1.414440305	15	0.593887245	2.860580605	-0.710285495	0.667485815	-0.583445065	0.462298395	15	9.518450015	2.104868615	15	15	5.387918265	3.563751915	15	-0.702754515	3.393958245	-0.121170745	15	3.109042825	-2.104868615	15
Gfi1_037	2.148622085	1.419259705	15	1.385539185	1.510618775	15	15	4.618739645	1.904167475	15	-1.515927415	0.138304515	3.557158885	1.920259385	15	-2.416537655	15	1.276954785	15	15	15	1.963820605	-1.483453815	1.758840985	1.404762875	-1.378290985	15	-0.724015585	15	-0.802938135	1.970830485	-0.923400495	0.057846665	15	1.126566825	1.404639705	15	15	1.109236685	2.813584125	15	1.118071215	3.642992715	0.495994435	15	2.918106285	-1.404639705	0.916992825
Gfi1_038	2.76095894	0.92361302	15	15	0.18250267	15	15	15	3.24489966	6.2336334	-0.78228039	0.22711249	15	15	15	-2.47180583	15	15	15	15	15	2.18244243	-0.99426692	1.77373624	0.72165933	-0.37790215	15	-0.09734104	15	-0.76087602	4.40400541	-0.28016367	0.98580699	15	15	1.49356143	15	15	2.91545604	3.22655014	15	-0.09205489	3.03536441	0.82730746	15	2.76128628	-1.49356143	4.65490714
Gfi1_039	3.862655875	1.488196095	4.041550325	4.369076555	0.588649175	15	15	15	1.303594095	4.760230535	-0.687953125	-0.214449035	0.709921595	1.739244175	15	-2.145631395	15	15	15	15	15	3.586715425	-1.980643915	1.153562055	0.349299365	-2.609438375	15	1.100939795	15	-0.203529975	1.960220205	-1.544543505	-0.470550515	15	1.995743845	2.082380895	15	15	1.641399545	2.730653255	15	1.042948875	2.694788645	-1.117343585	15	0.765619905	-2.082380895	15
Gfi1_040	1.59350779	0.41819655	15	2.93484465	2.16531577	1.35152104	15	2.88372973	0.98745997	15	-1.26884606	-0.57182581	1.57028961	1.25613221	15	-0.61264156	4.16357056	1.11509291	15	15	15	4.28017161	-2.58829753	1.24413094	15	-0.32767875	15	-0.84925684	15	3.77879481	15	-2.49849622	-0.67599831	15	0.87094076	1.54468969	15	15	1.21090465	3.99240513	15	0.67668143	2.93030662	0.22779524	15	2.99937196	-1.54468969	3.56425242
Gfi1_041	3.041672415	1.127168865	15	3.066146115	1.570529635	2.384256845	15	3.133440215	2.776011135	5.659616745	-0.423594235	-0.477525605	15	0.573482135	15	-1.450278385	15	15	3.263482545	15	15	2.088377925	-2.401891485	3.329449635	0.838747735	-1.495424115	15	-0.141070315	15	-0.984697305	1.232481365	-2.281997665	0.223610445	15	2.175191865	1.452874435	15	15	1.492759895	2.632171695	15	0.506461765	3.656445435	1.721484955	15	4.222765155	-1.452874435	3.341633775
Gfi1_043	1.749310675	-0.155754075	15	3.428037465	-0.390925355	15	15	2.057232315	1.190367225	3.958598035	-1.624129615	-0.190048665	2.333023505	0.743089895	4.410403935	-4.086371225	15	15	7.432599155	15	2.510489215	0.709946835	-3.452926815	1.343467345	0.749315745	-2.523783565	15	-1.052956335	15	-0.986820575	0.942410815	-1.876396805	-1.369937035	15	0.089733095	1.871152885	15	15	0.462012785	2.208506375	15	-0.319765955	0.908984775	-0.690208535	15	4.294613165	-1.871152885	3.826017275
Gfi1_044	2.428000445	-1.024684925	15	0.444822315	1.240246105	15	15	2.413584245	2.994538185	15	-1.515453945	-1.871604025	-0.099229275	2.645278405	15	-4.553389275	15	1.424078375	15	15	15	-0.517534835	-3.350639085	1.693039535	-0.843442785	-1.606495565	15	-1.536756805	1.226388995	-0.611486715	0.860248495	-3.542399075	-0.843901885	15	0.432971465	1.055269735	15	15	-0.041781355	1.119366905	15	-0.378157115	2.483603865	-1.265902245	15	3.797637265	-1.055269735	-0.579092825
Gfi1_045	2.41448011	1.35276843	3.14069435	15	0.60455215	15	15	15	15	15	-0.73797837	0.12199026	15	2.75290293	15	-2.31866479	15	2.04443028	3.47290521	15	2.49618347	2.38112871	-2.23094358	15	0.79541456	-1.13509576	15	-0.28896459	15	-1.12290696	15	-0.56075362	0.6258082	15	4.32525113	1.45213552	15	15	5.3110812	2.80842773	15	0.62433141	2.4079247	-0.36647876	15	4.94082335	-1.45213552	15
